system:index,Aspect,Elevation,LULC,NDVI,Population,Rainfall,Slope,.geo
1_00000000000000000c7f_20,284.81268,1255,10,0.32884902,0.58129764,16278.811920925975,47.10721,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_21,330.03943,1270,10,0.41257498,0.58129764,16278.811920925975,40.05737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_22,283.97653,1236,10,0.34614524,0.6017882,16278.811920925975,47.00011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7f_23,278.99728,1243,10,0.42982456,0.58129764,16278.811920925975,45.988228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ac7_0,180.0,1880,10,0.55273104,0.9460659,17197.912096183747,32.265163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ac7_1,174.61536,1864,10,0.568148,0.9406363,17197.912096183747,30.342264,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ac7_2,183.23688,1865,10,0.49709073,0.9411539,17197.912096183747,32.965244,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_0,340.81235,1604,10,0.57220966,1.1822861,17705.323055703193,24.019594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_1,354.12967,1607,60,0.150205,1.2069647,17705.323055703193,19.697794,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_2,330.51224,1616,10,0.50305,1.1822861,17705.323055703193,22.250906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_3,349.74292,1619,60,0.13057813,1.2069647,17705.323055703193,22.355742,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_4,299.18048,1664,10,0.37921348,1.133918,17705.323055703193,38.549053,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_5,321.06726,1626,60,0.38614196,1.1822861,17705.323055703193,23.605812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_6,337.2721,1632,60,0.14946665,1.2069647,17705.323055703193,25.354654,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_7,349.3252,1636,60,0.14778805,1.2069647,17705.323055703193,26.297907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_8,306.987,1650,10,0.32342008,1.133918,17705.323055703193,31.75113,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_9,314.9862,1664,10,0.5626992,1.133918,17705.323055703193,30.767897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_10,300.51764,1673,10,0.6529907,1.133918,17705.323055703193,29.847391,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_11,282.80917,1691,10,0.4906984,1.1673903,17705.323055703193,33.310307,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_12,309.76657,1637,60,0.39881256,1.2437688,17705.323055703193,22.043447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_13,329.5399,1646,60,0.16870749,1.1913743,17705.323055703193,25.149706,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_14,352.2712,1650,60,0.13140363,1.1913743,17705.323055703193,22.215317,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_15,336.4914,1649,60,0.2820323,1.1913743,17705.323055703193,24.654036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_16,310.3254,1660,10,0.1983471,1.1619422,17705.323055703193,30.978716,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_17,316.2593,1674,10,0.6258616,1.1619422,17705.323055703193,30.223139,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_18,316.4682,1682,10,0.4192738,1.1619422,17705.323055703193,29.170475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_19,295.64053,1695,10,0.22818168,1.1679841,17705.323055703193,35.404133,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_20,293.85004,1717,10,0.46218297,1.1679841,17705.323055703193,38.684013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_21,310.41254,1735,10,0.6107507,1.1679841,17705.323055703193,32.992535,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_22,283.39017,1642,60,0.4320703,1.2437688,17705.323055703193,26.07287,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_23,304.9169,1657,10,0.63309354,1.1913743,17705.323055703193,22.987484,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_24,343.562,1661,60,0.17306454,1.1913743,17705.323055703193,21.215475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_25,335.3232,1663,60,0.107473746,1.1913743,17705.323055703193,29.686117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_26,313.52185,1674,60,0.13376817,1.1619422,17705.323055703193,34.282562,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_27,315.89,1690,10,0.48183337,1.1619422,17705.323055703193,32.26314,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_28,323.88324,1698,10,0.47315854,1.1619422,17705.323055703193,31.848783,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_29,312.41693,1710,60,0.27649564,1.1679841,17705.323055703193,36.64803,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_30,300.18686,1728,60,0.23457102,1.1679841,17705.323055703193,38.828735,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_31,308.0315,1748,10,0.40057066,1.1679841,17705.323055703193,31.145432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_32,327.12662,1754,10,0.61885804,1.2574518,17705.323055703193,22.035934,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_33,277.19913,1644,10,0.5160342,1.2437688,17705.323055703193,32.857117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_34,285.3446,1661,30,0.65152186,1.1913743,17705.323055703193,28.83521,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_35,311.483,1673,30,0.16324013,1.1913743,17705.323055703193,26.047667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_36,327.12668,1681,60,0.108138464,1.1913743,17705.323055703193,28.354591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_37,322.5428,1689,60,0.14996447,1.1619422,17705.323055703193,32.29982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_38,316.89413,1702,60,0.39346406,1.1619422,17705.323055703193,32.740795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_39,321.3985,1713,60,0.24244899,1.1619422,17705.323055703193,35.155605,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_40,315.17578,1726,60,0.18601748,1.1679841,17705.323055703193,36.98563,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_41,308.7053,1742,60,0.16040039,1.1679841,17705.323055703193,36.89682,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_42,311.483,1758,60,0.34393218,1.1679841,17705.323055703193,29.339352,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_43,327.4115,1765,10,0.6535035,1.2574518,17705.323055703193,23.84014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_44,327.12668,1771,10,0.49291253,1.2574518,17705.323055703193,22.03592,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_45,284.57736,1666,30,0.46324617,1.1491438,17705.323055703193,32.74796,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_46,291.2584,1681,30,0.57349,1.1491438,17705.323055703193,26.156307,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_47,303.5503,1691,60,0.19791256,1.1491438,17705.323055703193,27.799238,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_48,309.38742,1705,60,0.17400806,1.14309,17705.323055703193,33.554928,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_49,315.4319,1719,30,0.6215151,1.14309,17705.323055703193,35.16057,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_50,318.795,1732,10,0.6625753,1.14309,17705.323055703193,33.703205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_51,315.72604,1743,60,0.44956347,1.2677867,17705.323055703193,33.250477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_52,310.45157,1757,60,0.14290026,1.2677867,17705.323055703193,33.966312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_53,315.47806,1771,60,0.14041868,1.2677867,17705.323055703193,27.573532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_54,332.7934,1777,60,0.14858425,1.3592219,17705.323055703193,21.822817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_55,338.23984,1781,10,0.45943522,1.3592219,17705.323055703193,16.504858,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_56,350.12964,1783,30,0.5762266,1.3592219,17705.323055703193,12.057339,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_57,300.51794,1634,10,0.585545,1.2099285,17705.323055703193,41.75134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_58,288.49832,1658,10,0.55632883,1.2099285,17705.323055703193,35.53799,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_59,283.39026,1671,60,0.48438635,1.1491438,17705.323055703193,26.072706,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_60,287.5254,1684,30,0.54755473,1.1491438,17705.323055703193,28.261162,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_61,297.17627,1699,60,0.257657,1.1491438,17705.323055703193,32.53666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_62,295.0846,1715,60,0.12743561,1.14309,17705.323055703193,34.500282,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_63,303.85263,1733,60,0.5264256,1.14309,17705.323055703193,32.591015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_64,307.36636,1744,10,0.55735576,1.14309,17705.323055703193,26.874838,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_65,303.90082,1755,10,0.5293207,1.2677867,17705.323055703193,28.873959,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_66,302.86838,1769,60,0.16798642,1.2677867,17705.323055703193,29.541285,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_67,309.86453,1781,60,0.23644339,1.2677867,17705.323055703193,23.235485,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_68,333.67392,1787,60,0.33768296,1.3592219,17705.323055703193,16.117998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_69,348.02744,1788,10,0.45512313,1.3592219,17705.323055703193,14.8295765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_70,7.578956,1790,10,0.6062577,1.3592219,17705.323055703193,15.515577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_71,43.740387,1786,30,0.5498812,1.2842169,17705.323055703193,16.239569,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_72,356.30234,1631,10,0.6496414,1.22872,17705.323055703193,29.585913,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_73,324.74536,1636,60,0.419553,1.2099285,17705.323055703193,32.38908,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_74,307.88644,1651,60,0.20765172,1.2099285,17705.323055703193,30.110512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_75,287.82407,1661,60,0.30991516,1.2099285,17705.323055703193,22.932148,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_76,283.2673,1673,30,0.37706146,1.1491438,17705.323055703193,29.435757,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_77,287.70804,1691,30,0.35226977,1.1491438,17705.323055703193,34.677822,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_78,293.85028,1709,60,0.11695117,1.1491438,17705.323055703193,32.641495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_79,293.85028,1723,60,0.10121279,1.14309,17705.323055703193,32.641495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_80,292.31927,1741,60,0.5709181,1.14309,17705.323055703193,28.992216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_81,305.59445,1751,30,0.67628634,1.14309,17705.323055703193,25.304907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_82,299.5051,1762,60,0.6548458,1.2677867,17705.323055703193,27.739714,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_83,293.85028,1776,60,0.2538637,1.2677867,17705.323055703193,27.494493,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_84,301.97006,1788,60,0.30070406,1.2677867,17705.323055703193,20.146982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_85,321.94,1793,60,0.42708334,1.3592219,17705.323055703193,14.96381,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_86,335.02905,1797,10,0.66654944,1.3592219,17705.323055703193,16.88667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_87,4.043234,1800,10,0.60754716,1.3592219,17705.323055703193,14.555461,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_88,42.137836,1796,10,0.64440376,1.2842169,17705.323055703193,18.131145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_89,7.364789,1647,10,0.21333046,1.1065302,17705.323055703193,29.73868,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_90,341.82278,1648,60,0.14518346,1.1507639,17705.323055703193,27.842077,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_91,311.48328,1656,60,0.28377664,1.1507639,17705.323055703193,23.743929,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_92,299.97015,1666,60,0.3892482,1.1507639,17705.323055703193,25.923084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_93,293.16324,1679,60,0.53426576,1.100337,17705.323055703193,31.687065,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_94,287.7081,1697,60,0.21684743,1.100337,17705.323055703193,34.677757,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_95,290.0058,1715,60,0.08658772,1.100337,17705.323055703193,33.521866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_96,295.86813,1731,60,0.10665729,1.1154675,17705.323055703193,32.241207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_97,290.96463,1746,60,0.50233835,1.1154675,17705.323055703193,30.462633,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_98,297.947,1761,30,0.6269082,1.1154675,17705.323055703193,27.38932,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_99,303.96738,1771,10,0.66333735,1.2533619,17705.323055703193,24.87087,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_100,297.5864,1782,10,0.5463815,1.2533619,17705.323055703193,24.438581,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_101,304.5169,1793,60,0.35892513,1.2533619,17705.323055703193,21.798716,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_102,324.46216,1800,60,0.5012503,1.3561755,17705.323055703193,20.705175,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_103,339.34424,1805,10,0.711614,1.3561755,17705.323055703193,17.29646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_104,20.655758,1806,10,0.6987932,1.3561755,17705.323055703193,11.727923,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_105,40.305252,1801,10,0.66989267,1.3657141,17705.323055703193,14.290591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_106,10.392458,1666,10,0.2315425,1.1065302,17705.323055703193,31.338781,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_107,354.616,1667,60,0.14420655,1.1507639,17705.323055703193,30.342237,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_108,341.2586,1669,60,0.2206315,1.1507639,17705.323055703193,27.149834,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_109,316.94632,1676,60,0.35770997,1.1507639,17705.323055703193,27.000069,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_110,299.61472,1688,60,0.43769968,1.100337,17705.323055703193,30.525318,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_111,294.45297,1704,60,0.22555646,1.100337,17705.323055703193,35.142006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_112,297.28412,1723,60,0.28804925,1.100337,17705.323055703193,36.559925,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_113,300.92075,1740,60,0.2122252,1.1154675,17705.323055703193,33.48698,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_114,302.8686,1754,60,0.5061025,1.1154675,17705.323055703193,29.541151,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_115,302.05948,1766,60,0.46789837,1.1154675,17705.323055703193,27.404411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_116,303.1664,1778,10,0.3988419,1.2533619,17705.323055703193,26.703615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_117,302.05948,1789,10,0.3617868,1.2533619,17705.323055703193,27.404411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_118,303.1664,1802,10,0.5378207,1.2533619,17705.323055703193,26.703615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_119,322.26688,1812,10,0.49511454,1.3561755,17705.323055703193,21.250957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_120,-0.0,1815,10,0.6358677,1.3561755,17705.323055703193,16.24506,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_121,21.994368,1689,10,0.6077365,1.1065302,17705.323055703193,26.050985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_122,10.021362,1684,10,0.20548439,1.1065302,17705.323055703193,27.745914,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_123,355.21127,1684,60,0.11727433,1.1507639,17705.323055703193,23.682297,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_124,347.72977,1686,60,0.45561963,1.1507639,17705.323055703193,23.302578,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_125,330.51285,1689,60,0.52196026,1.1507639,17705.323055703193,22.25078,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_126,304.22202,1697,60,0.5430309,1.100337,17705.323055703193,29.92758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_127,297.5401,1715,60,0.4001255,1.100337,17705.323055703193,38.842434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_128,298.79514,1736,60,0.26442587,1.100337,17705.323055703193,37.702587,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_129,306.19516,1752,60,0.18619753,1.1154675,17705.323055703193,33.340363,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_130,314.6029,1765,60,0.3100391,1.1154675,17705.323055703193,33.764526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_131,316.0678,1778,60,0.45660213,1.1154675,17705.323055703193,31.253792,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_132,314.08087,1788,60,0.26262626,1.2533619,17705.323055703193,28.155338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_133,307.36664,1799,60,0.5229787,1.2533619,17705.323055703193,26.874687,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_134,299.88754,1810,10,0.6063958,1.2533619,17705.323055703193,22.895231,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_135,309.2211,1819,10,0.5986059,1.3561755,17705.323055703193,17.077467,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_136,348.7132,1823,10,0.6905037,1.3561755,17705.323055703193,15.675146,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_137,15.787591,1701,10,0.43829596,1.0998133,17705.323055703193,21.985737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_138,17.571228,1698,10,0.1828827,1.0998133,17705.323055703193,23.001244,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_139,8.767114,1694,60,0.12293026,1.1318865,17705.323055703193,19.81618,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_140,348.38037,1695,60,0.44808257,1.1318865,17705.323055703193,19.98036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_141,328.50845,1698,60,0.52284694,1.1318865,17705.323055703193,24.494486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_142,314.2948,1708,60,0.49944326,1.1169382,17705.323055703193,36.566555,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_143,301.1734,1727,60,0.4431071,1.1169382,17705.323055703193,39.114372,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_144,299.83612,1746,60,0.42663273,1.1169382,17705.323055703193,37.98573,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_145,300.8558,1764,60,0.18089657,1.1083759,17705.323055703193,38.275677,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_146,309.4623,1783,60,0.3907129,1.1083759,17705.323055703193,34.51557,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_147,320.8446,1793,60,0.3469388,1.1083759,17705.323055703193,27.559708,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_148,321.06796,1801,60,0.32714042,1.1828504,17705.323055703193,23.605598,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_149,321.63257,1808,60,0.28326267,1.1828504,17705.323055703193,22.437145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_150,316.39725,1815,10,0.29896572,1.1828504,17705.323055703193,23.012674,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_151,314.66104,1824,10,0.4106094,1.3158264,17705.323055703193,23.632391,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_152,330.5129,1832,10,0.71428573,1.3158264,17705.323055703193,22.250769,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_153,19.977158,1713,10,0.64282787,1.0998133,17705.323055703193,25.746931,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_154,14.782664,1709,10,0.25584072,1.0998133,17705.323055703193,26.668434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_155,2.024111,1706,60,0.17047061,1.1318865,17705.323055703193,27.399157,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_156,346.89267,1708,60,0.14021043,1.1318865,17705.323055703193,29.471092,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_157,325.0647,1713,60,0.19815455,1.1318865,17705.323055703193,33.87602,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_158,319.44138,1729,60,0.187861,1.1169382,17705.323055703193,38.250748,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000343_159,317.3049,1741,60,0.39809224,1.1169382,17705.323055703193,39.927647,"{""type"":""MultiPoint"",""coordinates"":[]}"
