system:index,Aspect,Class,Elevation,LULC,NDVI,Population,Rainfall,Slope,.geo
1_0000000000000000099f_0,187.75896,1,654,10,0.27853176,1.8765178,12380.461671303026,28.33054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000009a0_0,346.68555,1,670,10,0.2534769,1.8970656,12380.461671303026,17.539825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000009a1_0,93.914375,1,937,10,0.5400864,1.3091639,13238.781857367605,35.427605,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000009a2_0,49.878757,1,922,10,0.38374075,1.263144,13238.781857367605,24.330929,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000009a3_0,143.7565,1,369,30,0.37034458,0.6813503,13238.781857367605,24.779978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000009a4_0,96.09458,1,576,30,0.30395913,0.89242494,12380.461671303026,53.917686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000009a5_0,198.5084,1,401,30,0.34740132,0.50905657,12380.461671303026,38.7409,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000009a6_0,197.67693,1,493,30,0.21810971,0.6996666,11478.913073831704,48.701298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000009f2_0,321.0121,1,1194,10,0.64342064,0.73785645,12380.461671303026,27.503979,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005c4_0,71.57112,1,467,10,0.42342028,0.17638269,17539.077360641386,24.743015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005c5_0,134.86127,1,530,60,0.4156588,0.16958961,17539.077360641386,32.723206,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005c6_0,157.31366,1,585,10,0.61243385,0.16195771,17539.077360641386,31.553402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005a0_0,174.78535,1,1026,10,0.65617806,0.19688714,17030.676721634227,31.024246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005ab_0,255.35297,1,384,10,0.31825468,0.15108494,17030.676721634227,32.62646,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c0f_0,64.65881,1,741,10,0.6697541,0.26138675,18289.727385274135,42.230312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ce6_0,151.13641,1,2249,30,0.4386595,0.43437546,15737.022489965893,39.753025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ce7_0,145.71692,1,2200,10,0.666538,0.41204855,15737.022489965893,40.111954,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ce8_0,142.40517,1,2004,10,0.73746216,0.41789654,15737.022489965893,39.950848,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d3d_0,162.32854,1,2064,30,0.36960217,2.1967688,16722.816559903324,38.008156,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d3e_0,169.69499,1,2133,30,0.4970888,2.0482252,16722.816559903324,45.569977,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d3f_0,112.488075,1,2120,30,0.43318832,2.093578,16722.816559903324,41.629444,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d40_0,142.3572,1,2207,10,0.5119584,1.9990882,16722.816559903324,37.84182,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d41_0,131.57474,1,2065,30,0.25595602,2.2534244,16722.816559903324,44.29709,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d55_0,238.59924,1,1173,60,0.14021352,3.8784175,16962.511178908404,34.353596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b72_0,92.98498,1,1638,60,0.1473234,1.1805726,16465.454740408808,31.870024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b83_0,117.18914,1,876,10,0.60812426,0.8937662,17419.721098769456,37.93287,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b95_0,246.09297,1,1771,30,0.3443843,0.68630093,17590.110569676384,35.71636,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b96_0,197.09654,1,1602,10,0.6126962,0.8229765,17132.55682598427,29.200542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b97_0,152.57053,1,1432,30,0.30403715,1.4486907,17590.110569676384,42.36189,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b98_0,155.52171,1,1450,30,0.27489144,1.435832,17590.110569676384,45.3934,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000b9b_0,176.20297,1,1763,30,0.33192515,0.9869243,17590.110569676384,39.6041,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ba6_0,164.96442,1,1350,60,0.07662917,1.6072739,17590.110569676384,35.145065,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ba7_0,198.27322,1,1353,30,0.108986616,1.6019694,17590.110569676384,34.951427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ba8_0,223.06927,1,1359,30,0.3654282,1.405341,17590.110569676384,37.79588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000bb3_0,162.14337,1,1946,30,0.45016468,0.5065466,17132.55682598427,30.763094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c1a_0,12.120588,1,1492,30,0.13280213,0.33864307,16278.811920925975,34.81429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c1b_0,53.532063,1,1291,30,0.28230232,0.35927516,16278.811920925975,28.577168,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c1c_0,105.491806,1,1407,30,0.3983471,0.36672792,16278.811920925975,31.218174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c38_0,105.39227,1,1469,30,0.4787082,0.6123462,18268.553930310532,28.76198,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c42_0,-0.0,1,920,30,0.2501226,0.42803684,16278.811920925975,41.157993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c43_0,6.432489,1,911,30,0.27176526,0.43169442,16278.811920925975,48.75103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c44_0,4.523677,1,886,30,0.17489035,0.4452765,16278.811920925975,42.786922,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c45_0,358.7336,1,871,10,0.4299455,0.62032783,16278.811920925975,39.549145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c75_0,17.099684,1,1770,60,0.111397296,1.1779186,14765.5319136763,36.693623,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c79_0,27.958921,1,1658,30,0.4821509,1.6645103,14248.405964027159,31.9275,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7a_0,92.81973,1,1646,60,0.123575285,1.8838818,14248.405964027159,18.214396,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7d_0,223.42688,1,1992,60,0.030366492,0.7694781,15325.63770819828,51.30013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c7e_0,204.56946,1,1882,30,0.37548056,0.6527743,15325.63770819828,33.367958,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c83_0,44.405712,1,1246,10,0.6442265,0.87395895,16278.811920925975,40.730034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c84_0,4.717473,1,1667,10,0.4267148,0.63895273,15325.63770819828,33.661816,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ca7_0,246.56139,1,1991,10,0.65904707,0.74356234,15325.63770819828,41.83894,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ca8_0,225.42319,1,1763,30,0.15278487,0.5575451,15325.63770819828,42.69332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ca9_0,201.75256,1,1736,30,0.40922284,0.70147085,15325.63770819828,48.564804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000caa_0,201.09517,1,1766,10,0.3892053,0.58415717,15325.63770819828,33.39768,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cab_0,212.99323,1,1727,60,0.25499058,0.5415124,15325.63770819828,32.493362,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cac_0,207.05028,1,1946,30,0.3087028,0.6648636,15325.63770819828,43.930073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cad_0,215.50352,1,1742,10,0.37606177,0.61041754,15325.63770819828,44.255753,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cae_0,86.37556,1,1837,30,0.27968597,0.84981996,15325.63770819828,37.531765,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000caf_0,97.76881,1,1833,30,0.30989826,0.7413076,15325.63770819828,35.69795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cb0_0,14.741865,1,1922,30,0.28045866,0.84482205,15325.63770819828,45.12368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cb1_0,175.31142,1,1906,10,0.5812145,0.89322877,15325.63770819828,41.77495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cb2_0,105.10299,1,1949,30,0.2792144,0.7876508,15325.63770819828,41.016518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cbe_0,46.64581,1,1552,30,0.13071646,0.56683934,15325.63770819828,37.88783,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cc1_0,56.18854,1,1569,60,0.13681667,0.7949546,15325.63770819828,47.105885,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cc5_0,152.60991,1,1920,30,0.27794936,0.89322877,15325.63770819828,34.002434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cc6_0,140.64331,1,1927,30,0.3092539,0.9517819,15325.63770819828,34.639763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cc7_0,92.82037,1,2016,10,0.34875792,0.9447876,15325.63770819828,33.343876,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cc8_0,48.434383,1,1927,60,0.11839372,0.9491696,15325.63770819828,46.37347,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ccb_0,142.08559,1,1008,30,0.39395952,0.52988034,17419.721098769456,48.455475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cd9_0,237.43477,1,1199,10,0.37997434,0.7029345,16623.222534656525,28.428333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cda_0,259.6004,1,1194,10,0.5451578,0.7029345,16623.222534656525,28.282993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cdb_0,246.08133,1,1082,10,0.4865839,0.5956188,16623.222534656525,51.063984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cdc_0,202.55608,1,969,30,0.4286658,0.57199264,15325.63770819828,33.667107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ce9_0,23.53732,1,1814,10,0.7074811,0.50733393,15737.022489965893,37.843628,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000ceb_0,167.63556,1,1796,10,0.66797704,0.46270752,15737.022489965893,30.820202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000cf6_0,5.9884872,1,1825,10,0.54388875,0.3335591,15325.63770819828,34.987926,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d38_0,241.74411,1,1322,30,0.22306186,5.631776,13817.54207011545,34.36741,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d39_0,171.7185,1,1736,60,0.09665654,4.849532,15813.451870489866,26.889969,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d3a_0,203.36568,1,1759,60,0.094426535,4.614236,15813.451870489866,39.651684,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d3b_0,173.56386,1,1756,60,0.069643095,4.942638,15813.451870489866,39.163578,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d3c_0,215.78062,1,1748,60,0.09258917,4.6298532,15813.451870489866,35.69111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d7f_0,171.4458,1,1346,30,0.43149906,0.99420065,15048.572751282016,36.37701,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000745_0,183.66867,1,1979,30,0.27262044,0.71407366,15337.042886732146,40.686096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000078c_0,104.81098,1,2849,30,0.38818708,0.041708816,11310.047508064657,37.231087,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000168_0,194.46776,1,1465,60,0.32198346,2.7688417,17120.0698750905,43.61906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000169_0,196.93933,1,1789,30,0.6363118,2.4551117,17265.550235695962,41.345886,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a00_0,242.40802,1,2147,30,0.32958922,1.7212354,14779.88043363532,45.385395,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a36_0,217.044,1,1261,30,0.38937256,2.2125738,14340.762465752661,36.13382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a60_0,218.3104,1,1863,30,0.43793476,1.5861776,14779.88043363532,41.576183,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a61_0,176.29727,1,2401,30,0.31123623,1.1926831,14779.88043363532,29.586054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a62_0,159.31873,1,2257,30,0.31172493,1.6262037,14779.88043363532,36.00652,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a63_0,216.44725,1,1967,30,0.31056255,1.7119826,14779.88043363532,42.790455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a6d_0,119.14319,1,1440,10,0.6539861,1.8350996,16205.935894049704,38.581623,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a7f_0,227.51315,1,1457,10,0.5357545,1.933776,16662.836565417703,33.864544,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000017c_0,193.89323,1,1764,30,0.26620337,1.4233273,17273.79068094492,28.085264,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000a64_0,81.04,1,2333,10,0.47826338,1.085508,15337.042886732146,27.460398,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000c76_0,228.43927,1,1937,30,0.13561644,1.4132761,15325.63770819828,44.304985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000008aa_0,127.14276,1,1361,10,0.34868017,1.2008477,15334.158767375397,43.177963,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005a1_0,188.16028,1,666,30,0.24778615,0.8164808,15617.736213001655,37.54615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005fa_0,149.56804,1,1016,30,0.4049479,0.7385172,14624.181296777446,23.355093,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005fb_0,163.49542,1,1028,30,0.2847296,0.75266737,14624.181296777446,32.683006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000627_0,125.9217,1,897,10,0.52111727,0.34113988,17622.732250441797,31.258944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000628_0,216.86256,1,794,10,0.47606918,0.19661877,17622.732250441797,28.64711,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000062c_0,224.50665,1,598,30,0.32307956,0.36054468,16032.16809990909,28.579815,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000062d_0,124.4018,1,631,10,0.47602475,0.2830559,16032.16809990909,29.813814,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000062e_0,157.6134,1,575,10,0.31581622,0.3213532,16032.16809990909,27.709171,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000636_0,151.5892,1,473,10,0.59361994,0.42306113,16183.174708130071,26.42367,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000638_0,93.9117,1,978,30,0.45929986,0.81327224,8953.642447694205,25.388212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000639_0,132.79852,1,888,30,0.25984251,0.82376635,8953.642447694205,30.779911,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000063a_0,267.57593,1,882,10,0.3638868,0.5198057,8953.642447694205,37.432686,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000063e_0,98.789566,1,1099,30,0.45074627,0.43403506,14096.430786907673,22.964674,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000066f_0,203.82968,1,691,10,0.5936281,0.26729536,15751.494031323586,26.358349,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000675_0,206.26776,1,580,10,0.6256373,0.2401272,15751.494031323586,36.506157,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000676_0,185.8351,1,542,10,0.50759345,0.2097758,15751.494031323586,19.696648,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000678_0,190.61267,1,986,10,0.4940626,0.3305191,15262.429564943071,34.672325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000679_0,177.0067,1,1005,30,0.19990559,0.30982438,15262.429564943071,34.877464,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000681_0,98.92664,1,492,10,0.5157654,1.229658,15723.60132403113,17.378502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000688_0,131.6604,1,452,10,0.48790058,0.27040216,15751.494031323586,12.362422,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000877_0,203.49828,1,742,30,0.29597422,1.0991502,10337.088529475965,37.8354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000879_0,189.67871,1,1377,50,0.08167234,1.5554044,11960.515371312387,28.453705,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000087d_0,306.8983,1,1450,10,0.29183525,1.2918359,15166.362685622647,30.674707,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000087e_0,295.0931,1,1349,60,0.16423087,1.2597089,15166.362685622647,35.95115,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000892_0,139.80121,1,1049,30,0.37760127,1.0773206,14733.609250663314,18.731562,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000895_0,124.81841,1,1109,10,0.4079913,2.9192154,15188.910894542933,39.426308,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000008fa_0,188.82526,1,1364,50,0.15003732,1.5554044,11960.515371312387,25.41098,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000008fb_0,212.5729,1,1274,30,0.22410922,1.183346,11960.515371312387,35.403015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000008fe_0,125.36973,1,1559,30,0.14618644,1.7224977,15166.362685622647,50.89947,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000908_0,101.65961,1,1255,30,0.24412994,2.2910671,15166.362685622647,38.694393,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000909_0,129.31975,1,1291,30,0.3876346,2.2464948,15166.362685622647,31.51359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000092a_0,71.799866,1,719,30,0.2545408,1.0353756,14683.580912737641,27.396751,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000092b_0,121.10736,1,997,30,0.26196638,3.3472505,15188.910894542933,46.81117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000005fc_0,136.82275,1,1052,30,0.18192461,0.7199876,14624.181296777446,21.779984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e8_0,127.62845,1,861,10,0.6205563,1.9958451,17258.27304633148,42.033817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000370_0,193.31168,1,899,30,0.38470107,2.890378,17033.159025236964,35.575863,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000114_0,185.5355,1,1250,30,0.16472545,2.1621416,18465.13349174708,29.64968,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d84_0,50.58114,1,1455,30,0.37823653,2.8108196,14870.144824419856,33.5373,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d85_0,46.943268,1,1455,30,0.36523125,3.106754,14870.144824419856,42.01897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d86_0,43.4995,1,1423,30,0.21352658,3.106754,14870.144824419856,29.157423,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000d87_0,31.93438,1,1422,60,0.1999161,3.0436788,14870.144824419856,28.949802,"{""type"":""MultiPoint"",""coordinates"":[]}"
